symbol	ensembl_id	name
RPS9P2	ENSG00000237214	ribosomal protein S9 pseudogene 2 [Source:HGNC Symbol;Acc:HGNC:19428]
ACTBP15	ENSG00000213857	ACTB pseudogene 15 [Source:HGNC Symbol;Acc:HGNC:55065]
MIR1281	ENSG00000284015	microRNA 1281 [Source:HGNC Symbol;Acc:HGNC:35359]
POTEH	ENSG00000198062	POTE ankyrin domain family member H [Source:HGNC Symbol;Acc:HGNC:133]
POTEH-AS1	ENSG00000236666	POTEH antisense RNA 1 [Source:HGNC Symbol;Acc:HGNC:40058]
RNU6-816P	ENSG00000212216	RNA, U6 small nuclear 816, pseudogene [Source:HGNC Symbol;Acc:HGNC:47779]
IGLV3-10	ENSG00000211669	immunoglobulin lambda variable 3-10 [Source:HGNC Symbol;Acc:HGNC:5897]
IGLV3-9	ENSG00000211670	immunoglobulin lambda variable 3-9 [Source:HGNC Symbol;Acc:HGNC:5918]
MLLT6	ENSG00000275851	MLLT6, PHD finger containing [Source:HGNC Symbol;Acc:HGNC:7138]
LINC01713	ENSG00000228482	long intergenic non-protein coding RNA 1713 [Source:HGNC Symbol;Acc:HGNC:52500]
IGLV2-8	ENSG00000278196	immunoglobulin lambda variable 2-8 [Source:HGNC Symbol;Acc:HGNC:5895]
MIR650	ENSG00000284049	microRNA 650 [Source:HGNC Symbol;Acc:HGNC:32906]
IGLV3-7	ENSG00000254077	immunoglobulin lambda variable 3-7 (pseudogene) [Source:HGNC Symbol;Acc:HGNC:5917]
IGLV3-6	ENSG00000253448	immunoglobulin lambda variable 3-6 (pseudogene) [Source:HGNC Symbol;Acc:HGNC:5916]
IGLV2-5	ENSG00000253234	immunoglobulin lambda variable 2-5 (pseudogene) [Source:HGNC Symbol;Acc:HGNC:5894]
IGLV3-4	ENSG00000226420	immunoglobulin lambda variable 3-4 (pseudogene) [Source:HGNC Symbol;Acc:HGNC:5915]
IGLV4-3	ENSG00000211672	immunoglobulin lambda variable 4-3 [Source:HGNC Symbol;Acc:HGNC:5919]
IGLV3-2	ENSG00000253963	immunoglobulin lambda variable 3-2 (pseudogene) [Source:HGNC Symbol;Acc:HGNC:5904]
IGLV3-1	ENSG00000211673	immunoglobulin lambda variable 3-1 [Source:HGNC Symbol;Acc:HGNC:5896]
MIR5571	ENSG00000264824	microRNA 5571 [Source:HGNC Symbol;Acc:HGNC:43513]
RIPOR3-AS1	ENSG00000234693	RIPOR3 antisense RNA 1 [Source:HGNC Symbol;Acc:HGNC:40760]
IGLL5	ENSG00000254709	immunoglobulin lambda like polypeptide 5 [Source:HGNC Symbol;Acc:HGNC:38476]
SERPINB8	ENSG00000166401	serpin family B member 8 [Source:HGNC Symbol;Acc:HGNC:8952]
IGLJ1	ENSG00000211674	immunoglobulin lambda joining 1 [Source:HGNC Symbol;Acc:HGNC:5863]
IGLC1	ENSG00000211675	immunoglobulin lambda constant 1 [Source:HGNC Symbol;Acc:HGNC:5855]
LINC01733	ENSG00000226203	long intergenic non-protein coding RNA 1733 [Source:HGNC Symbol;Acc:HGNC:52521]
IGLJ2	ENSG00000211676	immunoglobulin lambda joining 2 [Source:HGNC Symbol;Acc:HGNC:5864]
IGLC2	ENSG00000211677	immunoglobulin lambda constant 2 [Source:HGNC Symbol;Acc:HGNC:5856]
IGLJ3	ENSG00000211678	immunoglobulin lambda joining 3 [Source:HGNC Symbol;Acc:HGNC:5865]
IGLC3	ENSG00000211679	immunoglobulin lambda constant 3 (Kern-Oz+ marker) [Source:HGNC Symbol;Acc:HGNC:5857]
IGLJ4	ENSG00000211680	immunoglobulin lambda joining 4 (non-functional) [Source:HGNC Symbol;Acc:HGNC:5866]
IGLC4	ENSG00000254029	immunoglobulin lambda constant 4 (pseudogene) [Source:HGNC Symbol;Acc:HGNC:5858]
IGLC5	ENSG00000254030	immunoglobulin lambda constant 5 (pseudogene) [Source:HGNC Symbol;Acc:HGNC:5859]
IGLJ6	ENSG00000211682	immunoglobulin lambda joining 6 [Source:HGNC Symbol;Acc:HGNC:5868]
IGLC6	ENSG00000222037	immunoglobulin lambda constant 6 [Source:HGNC Symbol;Acc:HGNC:5860]
IGLJ7	ENSG00000211684	immunoglobulin lambda joining 7 [Source:HGNC Symbol;Acc:HGNC:5869]
BTBD3-AS1	ENSG00000236526	BTBD3 antisense RNA 1 [Source:HGNC Symbol;Acc:HGNC:40728]
IGLC7	ENSG00000211685	immunoglobulin lambda constant 7 [Source:HGNC Symbol;Acc:HGNC:5861]
ZNHIT3	ENSG00000278574	zinc finger HIT-type containing 3 [Source:HGNC Symbol;Acc:HGNC:12309]
ADNP-AS1	ENSG00000259456	ADNP antisense RNA 1 [Source:HGNC Symbol;Acc:HGNC:51227]
POM121L9P	ENSG00000128262	POM121 transmembrane nucleoporin like 9, pseudogene [Source:HGNC Symbol;Acc:HGNC:30080]
BCRP3	ENSG00000284128	BCR pseudogene 3 [Source:HGNC Symbol;Acc:HGNC:1016]
GGT3P	ENSG00000197421	gamma-glutamyltransferase 3 pseudogene [Source:HGNC Symbol;Acc:HGNC:4252]
ABCC1	ENSG00000278183	ATP binding cassette subfamily C member 1 (ABCC1 blood group) [Source:HGNC Symbol;Acc:HGNC:51]
LRP5L	ENSG00000100068	LDL receptor related protein 5 like (pseudogene) [Source:HGNC Symbol;Acc:HGNC:25323]
SLCO4A1-AS1	ENSG00000232803	SLCO4A1 antisense RNA 1 [Source:HGNC Symbol;Acc:HGNC:40537]
P2RX6P	ENSG00000206145	purinergic receptor P2X 6 pseudogene [Source:HGNC Symbol;Acc:HGNC:34076]
PRAMENP	ENSG00000197549	PRAME N-terminal like, pseudogene [Source:HGNC Symbol;Acc:HGNC:34302]
CECR7	ENSG00000237438	cat eye syndrome chromosome region, candidate 7 [Source:HGNC Symbol;Acc:HGNC:1845]
TTR	ENSG00000118271	transthyretin [Source:HGNC Symbol;Acc:HGNC:12405]
USP41P	ENSG00000161133	ubiquitin specific peptidase 41, pseudogene [Source:HGNC Symbol;Acc:HGNC:20070]
TADA2A	ENSG00000277104	transcriptional adaptor 2A [Source:HGNC Symbol;Acc:HGNC:11531]
FAM247A	ENSG00000283972	family with sequence similarity 247 member A [Source:HGNC Symbol;Acc:HGNC:54926]
SMPD4P1	ENSG00000223553	sphingomyelin phosphodiesterase 4 pseudogene 1 [Source:HGNC Symbol;Acc:HGNC:39673]
POM121L4P	ENSG00000217261	POM121 transmembrane nucleoporin like 4, pseudogene [Source:HGNC Symbol;Acc:HGNC:19326]
POM121L1P	ENSG00000183169	POM121 transmembrane nucleoporin like 1, pseudogene [Source:HGNC Symbol;Acc:HGNC:16439]
TPTEP2	ENSG00000244627	TPTE pseudogene 2 [Source:HGNC Symbol;Acc:HGNC:53828]
RRP7BP	ENSG00000182841	ribosomal RNA processing 7 homolog B, pseudogene [Source:HGNC Symbol;Acc:HGNC:30454]
DSC2	ENSG00000134755	desmocollin 2 [Source:HGNC Symbol;Acc:HGNC:3036]
BCRP2	ENSG00000169668	BCR pseudogene 2 [Source:HGNC Symbol;Acc:HGNC:1015]
LINC03083	ENSG00000234104	long intergenic non-protein coding RNA 3083 [Source:HGNC Symbol;Acc:HGNC:56677]
RPL23AP82	ENSG00000184319	ribosomal protein L23a pseudogene 82 [Source:HGNC Symbol;Acc:HGNC:33730]
TMEM191A	ENSG00000226287	transmembrane protein 191A (pseudogene) [Source:HGNC Symbol;Acc:HGNC:25317]
CEBPB-AS1	ENSG00000277449	CEBPB antisense RNA 1 [Source:HGNC Symbol;Acc:HGNC:51226]
TEX29	ENSG00000153495	testis expressed 29 [Source:HGNC Symbol;Acc:HGNC:20370]
CRYBB2P1	ENSG00000100058	crystallin beta B2 pseudogene 1 [Source:HGNC Symbol;Acc:HGNC:2399]
CLDN10	ENSG00000134873	claudin 10 [Source:HGNC Symbol;Acc:HGNC:2033]
ISCA2P1	ENSG00000226912	iron-sulfur cluster assembly 2 pseudogene 1 [Source:HGNC Symbol;Acc:HGNC:38022]
LINC01721	ENSG00000230133	long intergenic non-protein coding RNA 1721 [Source:HGNC Symbol;Acc:HGNC:52508]
AP1B1P1	ENSG00000234479	AP1B1 pseudogene 1 [Source:HGNC Symbol;Acc:HGNC:297]
AP1B1P2	ENSG00000232707	AP1B1 pseudogene 2 [Source:HGNC Symbol;Acc:HGNC:298]
PI4KAP1	ENSG00000274602	phosphatidylinositol 4-kinase alpha pseudogene 1 [Source:HGNC Symbol;Acc:HGNC:33576]
EEF1AKMT1	ENSG00000150456	EEF1A lysine methyltransferase 1 [Source:HGNC Symbol;Acc:HGNC:27351]
RN7SKP131	ENSG00000222630	RN7SK pseudogene 131 [Source:HGNC Symbol;Acc:HGNC:45855]
RIMBP3	ENSG00000275793	RIMS binding protein 3 [Source:HGNC Symbol;Acc:HGNC:29344]
SUSD2P2	ENSG00000278110	sushi domain containing 2 pseudogene 2 [Source:HGNC Symbol;Acc:HGNC:35197]
CA15P2	ENSG00000273907	CA15 pseudogene 2 [Source:HGNC Symbol;Acc:HGNC:14916]
PPP1R26P2	ENSG00000273643	protein phosphatase 1 regulatory subunit 26 pseudogene 2 [Source:HGNC Symbol;Acc:HGNC:42016]
GUSBP11	ENSG00000272578	GUSB pseudogene 11 [Source:HGNC Symbol;Acc:HGNC:42325]
PROZ	ENSG00000126231	protein Z, vitamin K dependent plasma glycoprotein [Source:HGNC Symbol;Acc:HGNC:9460]
RGL4	ENSG00000159496	ral guanine nucleotide dissociation stimulator like 4 [Source:HGNC Symbol;Acc:HGNC:31911]
NPIPA1	ENSG00000281994	nuclear pore complex interacting protein family member A1 [Source:HGNC Symbol;Acc:HGNC:7909]
STK4-DT	ENSG00000227477	STK4 divergent transcript [Source:HGNC Symbol;Acc:HGNC:43811]
MRM1	ENSG00000274853	mitochondrial rRNA methyltransferase 1 [Source:HGNC Symbol;Acc:HGNC:26202]
NOMO3	ENSG00000278087	NODAL modulator 3 [Source:HGNC Symbol;Acc:HGNC:25242]
GGNBP2	ENSG00000275099	gametogenetin binding protein 2 [Source:HGNC Symbol;Acc:HGNC:19357]
LINC00659	ENSG00000228705	long intergenic non-protein coding RNA 659 [Source:HGNC Symbol;Acc:HGNC:44316]
LILRP1	ENSG00000277570	leukocyte immunoglobulin-like receptor pseudogene 1 [Source:HGNC Symbol;Acc:HGNC:15496]
OGFR-AS1	ENSG00000229873	OGFR antisense RNA 1 [Source:HGNC Symbol;Acc:HGNC:40724]
HM13-AS1	ENSG00000230613	HM13 antisense RNA 1 [Source:HGNC Symbol;Acc:HGNC:41940]
LINC01524	ENSG00000234948	long intergenic non-protein coding RNA 1524 [Source:HGNC Symbol;Acc:HGNC:51228]
CCL15	ENSG00000275528	C-C motif chemokine ligand 15 [Source:HGNC Symbol;Acc:HGNC:10613]
VPREB3	ENSG00000128218	V-set pre-B cell surrogate light chain 3 [Source:HGNC Symbol;Acc:HGNC:12710]
MIR1249	ENSG00000221598	microRNA 1249 [Source:HGNC Symbol;Acc:HGNC:35315]
RIBC2	ENSG00000128408	RIB43A domain with coiled-coils 2 [Source:HGNC Symbol;Acc:HGNC:13241]
PIP4K2B	ENSG00000277292	phosphatidylinositol-5-phosphate 4-kinase type 2 beta [Source:HGNC Symbol;Acc:HGNC:8998]
RNU6-1161P	ENSG00000251985	RNA, U6 small nuclear 1161, pseudogene [Source:HGNC Symbol;Acc:HGNC:48124]
MIR4762	ENSG00000264160	microRNA 4762 [Source:HGNC Symbol;Acc:HGNC:41603]
C22orf42	ENSG00000205856	chromosome 22 open reading frame 42 [Source:HGNC Symbol;Acc:HGNC:27160]
PDXP	ENSG00000241360	pyridoxal phosphatase [Source:HGNC Symbol;Acc:HGNC:30259]
RFPL1	ENSG00000128250	ret finger protein like 1 [Source:HGNC Symbol;Acc:HGNC:9977]
AATF	ENSG00000276072	apoptosis antagonizing transcription factor [Source:HGNC Symbol;Acc:HGNC:19235]
RPL34P35	ENSG00000230194	ribosomal protein L34 pseudogene 35 [Source:HGNC Symbol;Acc:HGNC:35798]
KIR2DS3	ENSG00000288487	killer cell immunoglobulin like receptor, two Ig domains and short cytoplasmic tail 3 [Source:HGNC Symbol;Acc:HGNC:6335]
RN7SL633P	ENSG00000240186	RNA, 7SL, cytoplasmic 633, pseudogene [Source:HGNC Symbol;Acc:HGNC:46649]
SELENOM	ENSG00000198832	selenoprotein M [Source:HGNC Symbol;Acc:HGNC:30397]
COL4A2	ENSG00000134871	collagen type IV alpha 2 chain [Source:HGNC Symbol;Acc:HGNC:2203]
RPS15AP37	ENSG00000235573	ribosomal protein S15a pseudogene 37 [Source:HGNC Symbol;Acc:HGNC:36173]
SNRPNP2	ENSG00000214125	SNRPN pseudogene 2 [Source:HGNC Symbol;Acc:HGNC:56981]
FRMPD4-AS1	ENSG00000223487	FRMPD4 antisense RNA 1 [Source:HGNC Symbol;Acc:HGNC:41222]
MIR3928	ENSG00000264141	microRNA 3928 [Source:HGNC Symbol;Acc:HGNC:38933]
RPL17P49	ENSG00000231211	ribosomal protein L17 pseudogene 49 [Source:HGNC Symbol;Acc:HGNC:37009]
RNU6-1128P	ENSG00000199695	RNA, U6 small nuclear 1128, pseudogene [Source:HGNC Symbol;Acc:HGNC:48091]
RNA5SP496	ENSG00000212542	RNA, 5S ribosomal pseudogene 496 [Source:HGNC Symbol;Acc:HGNC:43396]
RN7SKP290	ENSG00000271814	RN7SK pseudogene 290 [Source:HGNC Symbol;Acc:HGNC:46014]
PSMA6P2	ENSG00000229083	proteasome subunit alpha 6 pseudogene 2 [Source:HGNC Symbol;Acc:HGNC:39607]
RTL10	ENSG00000215012	retrotransposon Gag like 10 [Source:HGNC Symbol;Acc:HGNC:26112]
MRPL35P4	ENSG00000230691	mitochondrial ribosomal protein L35 pseudogene 4 [Source:HGNC Symbol;Acc:HGNC:29707]
TLR7	ENSG00000196664	toll like receptor 7 [Source:HGNC Symbol;Acc:HGNC:15631]
TBC1D3H	ENSG00000277974	TBC1 domain family member 3H [Source:HGNC Symbol;Acc:HGNC:30708]
TLR8-AS1	ENSG00000233338	TLR8 antisense RNA 1 [Source:HGNC Symbol;Acc:HGNC:40720]
RBM22P6	ENSG00000275643	RNA binding motif protein 22 pseudogene 6 [Source:HGNC Symbol;Acc:HGNC:39699]
XAGE1A	ENSG00000204379	X antigen family member 1A [Source:HGNC Symbol;Acc:HGNC:4111]
SEPTIN3	ENSG00000100167	septin 3 [Source:HGNC Symbol;Acc:HGNC:10750]
RBM22P7	ENSG00000223395	RNA binding motif protein 22 pseudogene 7 [Source:HGNC Symbol;Acc:HGNC:39700]
CCL4	ENSG00000275824	C-C motif chemokine ligand 4 [Source:HGNC Symbol;Acc:HGNC:10630]
SSX14P	ENSG00000185319	SSX family member 14, pseudogene [Source:HGNC Symbol;Acc:HGNC:30641]
SSX11P	ENSG00000197185	SSX family member 11, pseudogene [Source:HGNC Symbol;Acc:HGNC:30637]
SSX7	ENSG00000187754	SSX family member 7 [Source:HGNC Symbol;Acc:HGNC:19653]
TMX4-AS1	ENSG00000229766	TMX4 antisense RNA 1 [Source:HGNC Symbol;Acc:HGNC:55788]
RNA5SP504	ENSG00000222608	RNA, 5S ribosomal pseudogene 504 [Source:HGNC Symbol;Acc:HGNC:43404]
SSX15P	ENSG00000225508	SSX family member 15, pseudogene [Source:HGNC Symbol;Acc:HGNC:30642]
S100A11P10	ENSG00000237275	S100A11 pseudogene 10 [Source:HGNC Symbol;Acc:HGNC:54961]
S100A11P8	ENSG00000269281	S100A11 pseudogene 8 [Source:HGNC Symbol;Acc:HGNC:54957]
SSX21P	ENSG00000226867	SSX family member 21, pseudogene [Source:HGNC Symbol;Acc:HGNC:56826]
SPANXN5	ENSG00000204363	SPANX family member N5 [Source:HGNC Symbol;Acc:HGNC:33178]
EIF4A2P4	ENSG00000224781	eukaryotic translation initiation factor 4A2 pseudogene 4 [Source:HGNC Symbol;Acc:HGNC:45101]
KIR3DS1	ENSG00000283889	killer cell immunoglobulin like receptor, three Ig domains and short cytoplasmic tail 1 [Source:HGNC Symbol;Acc:HGNC:6340]
PPIHP2	ENSG00000220541	peptidylprolyl isomerase H pseudogene 2 [Source:HGNC Symbol;Acc:HGNC:31356]
QTRT1P1	ENSG00000270524	queuine tRNA-ribosyltransferase catalytic subunit 1 pseudogene 1 [Source:HGNC Symbol;Acc:HGNC:39179]
SPMAP1	ENSG00000276913	sperm microtubule associated protein 1 [Source:HGNC Symbol;Acc:HGNC:34492]
RNU1-57P	ENSG00000207220	RNA, U1 small nuclear 57, pseudogene [Source:HGNC Symbol;Acc:HGNC:48399]
RN7SL93P	ENSG00000240327	RNA, 7SL, cytoplasmic 93, pseudogene [Source:HGNC Symbol;Acc:HGNC:46109]
SNORD30	ENSG00000212611	Small nucleolar RNA SNORD30 [Source:RFAM;Acc:RF00088]
NPEPPSP1	ENSG00000282641	NPEPPS pseudogene 1 [Source:NCBI gene (formerly Entrezgene);Acc:440434]
CBX1P4	ENSG00000214321	chromobox 1 pseudogene 4 [Source:HGNC Symbol;Acc:HGNC:38658]
MIR4768	ENSG00000265465	microRNA 4768 [Source:HGNC Symbol;Acc:HGNC:41592]
SOCS7	ENSG00000274229	suppressor of cytokine signaling 7 [Source:HGNC Symbol;Acc:HGNC:29846]
NHS-AS1	ENSG00000230020	NHS antisense RNA 1 [Source:HGNC Symbol;Acc:HGNC:40403]
CHP1P3	ENSG00000226153	CHP1 pseudogene 3 [Source:HGNC Symbol;Acc:HGNC:54897]
FAM136GP	ENSG00000227873	family with sequence similarity 136 member G, pseudogene [Source:HGNC Symbol;Acc:HGNC:55500]
F8A3	ENSG00000277150	coagulation factor VIII associated 3 [Source:HGNC Symbol;Acc:HGNC:31850]
PABPC1L2B	ENSG00000184388	poly(A) binding protein cytoplasmic 1 like 2B [Source:HGNC Symbol;Acc:HGNC:31852]
RBMXL3	ENSG00000175718	RBMX like 3 [Source:HGNC Symbol;Acc:HGNC:26859]
SSX2B	ENSG00000268447	SSX family member 2B [Source:HGNC Symbol;Acc:HGNC:22263]
KIR2DS5	ENSG00000288206	killer cell immunoglobulin like receptor, two Ig domains and short cytoplasmic tail 5 [Source:HGNC Symbol;Acc:HGNC:6337]
RAB20	ENSG00000139832	RAB20, member RAS oncogene family [Source:HGNC Symbol;Acc:HGNC:18260]
CUL4A	ENSG00000139842	cullin 4A [Source:HGNC Symbol;Acc:HGNC:2554]
EPOP	ENSG00000277303	elongin BC and polycomb repressive complex 2 associated protein [Source:HGNC Symbol;Acc:HGNC:34493]
LINC01275	ENSG00000237595	long intergenic non-protein coding RNA 1275 [Source:HGNC Symbol;Acc:HGNC:50331]
LRRC37A9P	ENSG00000282486	leucine rich repeat containing 37 member A9, pseudogene [Source:HGNC Symbol;Acc:HGNC:43813]
RN7SL20P	ENSG00000242251	RNA, 7SL, cytoplasmic 20, pseudogene [Source:HGNC Symbol;Acc:HGNC:46036]
RPL17P52	ENSG00000236132	ibosomal protein L17 pseudogene 52 [Source:HGNC Symbol;Acc:HGNC:56988]
RDM1	ENSG00000276432	RAD52 motif containing 1 [Source:HGNC Symbol;Acc:HGNC:19950]
RNU6-201P	ENSG00000252909	RNA, U6 small nuclear 201, pseudogene [Source:HGNC Symbol;Acc:HGNC:47164]
RPS17P16	ENSG00000232346	ribosomal protein S17 pseudogene 16 [Source:HGNC Symbol;Acc:HGNC:36821]
RNA5SP497	ENSG00000251890	RNA, 5S ribosomal pseudogene 497 [Source:HGNC Symbol;Acc:HGNC:43397]
ETFRF1P1	ENSG00000228194	ETFRF1 pseudogene 1 [Source:HGNC Symbol;Acc:HGNC:56993]
SYN3	ENSG00000185666	synapsin III [Source:HGNC Symbol;Acc:HGNC:11496]
FAM236A	ENSG00000275520	family with sequence similarity 236 member A [Source:HGNC Symbol;Acc:HGNC:44268]
LINC01273	ENSG00000231742	long intergenic non-protein coding RNA 1273 [Source:HGNC Symbol;Acc:HGNC:50329]
HSFX4	ENSG00000283463	heat shock transcription factor family, X-linked member 4 [Source:HGNC Symbol;Acc:HGNC:52398]
ZNF275	ENSG00000063587	zinc finger protein 275 [Source:HGNC Symbol;Acc:HGNC:13069]
ZNF157	ENSG00000147117	zinc finger protein 157 [Source:HGNC Symbol;Acc:HGNC:12942]
NALF2	ENSG00000130054	NALCN channel auxiliary factor 2 [Source:HGNC Symbol;Acc:HGNC:30701]
PNMA6A	ENSG00000235961	PNMA family member 6A [Source:HGNC Symbol;Acc:HGNC:28248]
RNA5SP502	ENSG00000199564	RNA, 5S ribosomal pseudogene 502 [Source:HGNC Symbol;Acc:HGNC:43402]
SHISA5P1	ENSG00000226641	SHISA5 pseudogene 1 [Source:HGNC Symbol;Acc:HGNC:54937]
DRICH1	ENSG00000189269	aspartate rich 1 [Source:HGNC Symbol;Acc:HGNC:28031]
RN7SL15P	ENSG00000264573	RNA, 7SL, cytoplasmic 15, pseudogene [Source:HGNC Symbol;Acc:HGNC:46031]
GEMIN7P1	ENSG00000225238	GEMIN7 pseudogene 1 [Source:HGNC Symbol;Acc:HGNC:54938]
RNU6-1321P	ENSG00000212207	RNA, U6 small nuclear 1321, pseudogene [Source:HGNC Symbol;Acc:HGNC:48284]
YWHAZP10	ENSG00000217624	YWHAZ pseudogene 10 [Source:HGNC Symbol;Acc:HGNC:54939]
RN7SL144P	ENSG00000242559	RNA, 7SL, cytoplasmic 144, pseudogene [Source:HGNC Symbol;Acc:HGNC:46160]
RPS15AP39	ENSG00000229822	ribosomal protein S15a pseudogene 39 [Source:HGNC Symbol;Acc:HGNC:35800]
RNU6-202P	ENSG00000251807	RNA, U6 small nuclear 202, pseudogene [Source:HGNC Symbol;Acc:HGNC:47165]
FABP5P15	ENSG00000237106	fatty acid binding protein 5 pseudogene 15 [Source:HGNC Symbol;Acc:HGNC:31071]
RNU6-854P	ENSG00000200906	RNA, U6 small nuclear 854, pseudogene [Source:HGNC Symbol;Acc:HGNC:47817]
RN7SL460P	ENSG00000263410	RNA, 7SL, cytoplasmic 460, pseudogene [Source:HGNC Symbol;Acc:HGNC:46476]
ATXN10	ENSG00000130638	ataxin 10 [Source:HGNC Symbol;Acc:HGNC:10549]
KIR2DS2	ENSG00000276258	killer cell immunoglobulin like receptor, two Ig domains and short cytoplasmic tail 2 [Source:HGNC Symbol;Acc:HGNC:6334]
SSX19P	ENSG00000227302	SSX family member 19, pseudogene [Source:HGNC Symbol;Acc:HGNC:30645]
MYH11	ENSG00000276480	myosin heavy chain 11 [Source:HGNC Symbol;Acc:HGNC:7569]
S100A11P9	ENSG00000270747	S100A11 pseudogene 9 [Source:HGNC Symbol;Acc:HGNC:54958]
SSX3	ENSG00000165584	SSX family member 3 [Source:HGNC Symbol;Acc:HGNC:11337]
LINC01718	ENSG00000229606	long intergenic non-protein coding RNA 1718 [Source:HGNC Symbol;Acc:HGNC:52505]
ZNF337-AS1	ENSG00000213742	ZNF337 antisense RNA 1 [Source:HGNC Symbol;Acc:HGNC:40759]
SSX4	ENSG00000268009	SSX family member 4 [Source:HGNC Symbol;Acc:HGNC:11338]
TRNT1P2	ENSG00000235347	TRNT1 pseudogene 2 [Source:HGNC Symbol;Acc:HGNC:56782]
WNT7B	ENSG00000188064	Wnt family member 7B [Source:HGNC Symbol;Acc:HGNC:12787]
LAMP5-AS1	ENSG00000225988	LAMP5 antisense RNA 1 [Source:HGNC Symbol;Acc:HGNC:40754]
APOBEC3A	ENSG00000128383	apolipoprotein B mRNA editing enzyme catalytic subunit 3A [Source:HGNC Symbol;Acc:HGNC:17343]
RNU6-800P	ENSG00000207202	RNA, U6 small nuclear 800, pseudogene [Source:HGNC Symbol;Acc:HGNC:47763]
PIGA	ENSG00000165195	phosphatidylinositol glycan anchor biosynthesis class A [Source:HGNC Symbol;Acc:HGNC:8957]
PIAS2	ENSG00000078043	protein inhibitor of activated STAT 2 [Source:HGNC Symbol;Acc:HGNC:17311]
MOV10L1	ENSG00000073146	Mov10 like RNA helicase 1 [Source:HGNC Symbol;Acc:HGNC:7201]
HEATR9	ENSG00000276986	HEAT repeat containing 9 [Source:HGNC Symbol;Acc:HGNC:26548]
OLA1P1	ENSG00000213790	OLA1 pseudogene 1 [Source:HGNC Symbol;Acc:HGNC:45274]
CYP2D7	ENSG00000205702	cytochrome P450 family 2 subfamily D member 7 (gene/pseudogene) [Source:HGNC Symbol;Acc:HGNC:2624]
TMEM191B	ENSG00000278558	transmembrane protein 191B [Source:HGNC Symbol;Acc:HGNC:33600]
FLT1	ENSG00000102755	fms related receptor tyrosine kinase 1 [Source:HGNC Symbol;Acc:HGNC:3763]
MIR663AHG	ENSG00000227195	MIR663A host gene [Source:HGNC Symbol;Acc:HGNC:27662]
POM121L15P	ENSG00000161103	POM121 transmembrane nucleoporin like 15, pseudogene [Source:HGNC Symbol;Acc:HGNC:55894]
SLC25A5P1	ENSG00000215347	solute carrier family 25 member 5 pseudogene 1 [Source:HGNC Symbol;Acc:HGNC:19250]
LINC01399	ENSG00000233080	long intergenic non-protein coding RNA 1399 [Source:HGNC Symbol;Acc:HGNC:50680]
PI4KAP2	ENSG00000183506	phosphatidylinositol 4-kinase alpha pseudogene 2 [Source:HGNC Symbol;Acc:HGNC:33577]
ACTG1P10	ENSG00000231340	actin gamma 1 pseudogene 10 [Source:HGNC Symbol;Acc:HGNC:155]
MIR6895	ENSG00000276575	microRNA 6895 [Source:HGNC Symbol;Acc:HGNC:50210]
MIR6894	ENSG00000277474	microRNA 6894 [Source:HGNC Symbol;Acc:HGNC:49938]
KDM5C-IT1	ENSG00000235262	KDM5C intronic transcript 1 [Source:HGNC Symbol;Acc:HGNC:41384]
RPSAP62	ENSG00000226299	ribosomal protein SA pseudogene 62 [Source:HGNC Symbol;Acc:HGNC:35583]
MPV17L2P1	ENSG00000234413	MPV17L2 pseudogene 1 [Source:HGNC Symbol;Acc:HGNC:54962]
MIR6857	ENSG00000278204	microRNA 6857 [Source:HGNC Symbol;Acc:HGNC:50263]
TIPINP1	ENSG00000235416	TIPIN pseudogene 1 [Source:HGNC Symbol;Acc:HGNC:54963]
VTRNA3-1P	ENSG00000199422	vault RNA 3-1, pseudogene [Source:HGNC Symbol;Acc:HGNC:23027]
EEDP1	ENSG00000224942	EED pseudogene 1 [Source:HGNC Symbol;Acc:HGNC:55143]
RPS17P17	ENSG00000225758	ribosomal protein S17 pseudogene 17 [Source:HGNC Symbol;Acc:HGNC:35647]
SOX3	ENSG00000134595	SRY-box transcription factor 3 [Source:HGNC Symbol;Acc:HGNC:11199]
RPL18AP16	ENSG00000237793	ribosomal protein L18a pseudogene 16 [Source:HGNC Symbol;Acc:HGNC:36288]
RN7SL687P	ENSG00000244335	RNA, 7SL, cytoplasmic 687, pseudogene [Source:HGNC Symbol;Acc:HGNC:46703]
CYCSP45	ENSG00000184844	CYCS pseudogene 45 [Source:HGNC Symbol;Acc:HGNC:24419]
C22orf46P	ENSG00000184208	chromosome 22 open reading frame 46, pseudogene [Source:HGNC Symbol;Acc:HGNC:26294]
SERHL	ENSG00000172250	serine hydrolase like (pseudogene) [Source:HGNC Symbol;Acc:HGNC:14408]
MIR3202-1	ENSG00000265176	microRNA 3202-1 [Source:HGNC Symbol;Acc:HGNC:38224]
MIR3202-2	ENSG00000283694	microRNA 3202-2 [Source:HGNC Symbol;Acc:HGNC:38228]
MIR718	ENSG00000284286	microRNA 718 [Source:HGNC Symbol;Acc:HGNC:37317]
RNU6-934P	ENSG00000202024	RNA, U6 small nuclear 934, pseudogene [Source:HGNC Symbol;Acc:HGNC:47897]
SERPINB5	ENSG00000206075	serpin family B member 5 [Source:HGNC Symbol;Acc:HGNC:8949]
RPL36A-HNRNPH2	ENSG00000257529	RPL36A-HNRNPH2 readthrough [Source:HGNC Symbol;Acc:HGNC:48349]
